gfx/sol.jpg
-0.5 0

0 18 400 300 0.5
1 2 -800 -550 -3
2 2 -800 -550 -3
3 2 -800 -550 -3
4 2 -800 -550 -3
5 2 -800 -550 -3
6 2 -800 -550 -3
7 2 -800 -550 -3
8 2 -800 -550 -3
9 2 -800 -550 -3
10 2 -800 -550 -3
11 2 -800 -550 -3
12 2 -800 -550 -3
13 2 -800 -550 -3
14 2 -800 -550 -3

FACE_NONE
数時間後、クリス・バンフィールドの活躍は太陽系まで伝わった。WEAPCOの艦隊司令官は彼の扱いについて考えていた。
FACE_KLINE
帝王は不機嫌だろうな。今やスピリット系はあの反逆者のパイロットによって解放された。
FACE_KLINE
報告によれば、我々の最も強力なフリゲートの内の一隻を打ちのめすのに3分と掛からなかった!
FACE_KLINE
そんな才能を持つ者はめったにいない。奴は我々の新しいAIトレーニングプログラムの候補としては完璧だ!
FACE_KLINE
奴を殺さなければならないのが残念だ…
